,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9,theta_10,theta_11,theta_12,theta_13,theta_14,theta_15,theta_16,theta_17,theta_18,theta_19,poisson_rate,total_time
67,25.4,25.4,25.4,-23.6,-23.6,-23.6,-23.6,-23.6,-23.6,-23.6,25.4,25.4,25.4,25.4,-23.6,25.4,-23.6,25.4,-23.6,-0.3361684944273269,1002.54
68,23.7,-25.4,23.6,-25.4,-25.4,23.6,-25.5,23.6,23.6,-25.4,-25.5,23.6,23.6,23.7,-25.5,23.6,-25.5,23.6,-25.5,-0.33616849946674304,1002.54
69,-23.6,25.5,25.5,-23.6,25.4,-23.6,25.4,-23.6,-23.7,-23.7,25.4,25.5,-23.7,25.4,-23.7,-23.7,25.4,-23.6,25.4,-0.33616850426672495,1002.54
70,-23.6,25.5,25.5,25.5,-23.6,-23.6,-23.6,-23.6,25.5,-23.6,25.4,-23.7,25.4,-23.6,25.4,25.4,25.4,-23.7,-23.7,-0.336168520217749,1002.54
71,23.6,23.7,-25.4,-25.4,-25.4,23.7,-25.4,23.7,23.6,-25.4,23.7,23.7,-25.4,23.6,-25.4,-25.5,-25.4,23.6,23.6,-0.33616852130647473,1002.54
72,-25.4,-25.4,23.7,23.7,-25.4,23.7,23.6,-25.4,23.6,23.6,-25.4,23.6,-25.4,23.7,-25.4,-25.4,23.6,23.7,-25.4,-0.33616858288558654,1002.54
73,23.6,23.6,-25.4,23.6,-25.4,-25.5,-25.4,23.6,-25.4,23.7,-25.5,23.7,23.7,-25.4,23.7,23.7,-25.4,-25.4,23.7,-0.33616858894577345,1002.54
74,23.7,-25.4,-25.4,23.6,23.6,23.6,-25.4,-25.4,-25.4,-25.4,23.6,23.6,23.7,-25.5,23.6,23.7,23.7,-25.4,-25.4,-0.3361686161620561,1002.54
75,-25.4,23.6,-25.4,23.6,23.6,-25.4,-25.4,23.6,-25.4,23.6,-25.4,23.6,23.6,23.6,23.7,-25.4,23.7,-25.4,-25.4,-0.33616862160396555,1002.54
76,25.4,-23.6,-23.6,-23.6,25.5,25.4,25.4,-23.6,-23.6,25.5,25.4,-23.6,-23.6,-23.7,25.4,-23.7,25.4,25.4,-23.7,-0.33616863246800743,1002.54
77,23.7,23.7,-25.4,-25.4,-25.4,-25.4,23.6,-25.4,23.6,23.6,23.6,23.7,23.7,-25.4,-25.4,-25.4,23.6,23.6,-25.4,-0.3361686428584261,1002.54
78,25.5,25.5,25.5,-23.6,-23.6,-23.6,-23.6,25.5,-23.6,25.4,-23.7,-23.6,-23.7,-23.6,25.4,25.4,25.4,25.4,-23.7,-0.33616866029559545,1002.54
79,23.7,-25.4,23.7,-25.4,23.7,-25.4,23.7,-25.4,-25.4,23.7,-25.4,23.7,-25.4,23.7,23.7,23.7,23.7,-25.4,-25.4,-0.3361686693554162,1002.54
80,23.6,-25.4,23.6,-25.4,23.7,-25.4,-25.4,23.7,-25.4,23.6,23.7,23.7,-25.4,23.7,-25.4,-25.4,23.6,-25.4,23.6,-0.33616868856356713,1002.54
81,25.4,25.4,-23.7,-23.7,-23.7,25.4,25.4,-23.6,-23.6,-23.6,25.4,-23.6,25.4,-23.6,25.5,-23.6,25.5,25.5,-23.6,-0.3361686966222754,1002.54
82,25.5,25.4,-23.6,-23.6,-23.7,-23.6,25.5,-23.6,-23.6,25.4,25.4,25.4,25.4,-23.7,25.4,-23.7,-23.7,-23.7,25.4,-0.3361687041620028,1002.54
83,-23.7,-23.7,25.4,-23.7,25.4,25.4,-23.6,25.4,-23.7,25.4,25.4,25.4,-23.6,-23.6,-23.6,25.4,-23.6,-23.6,25.5,-0.3361687073376424,1002.54
84,-23.6,25.4,-23.6,-23.6,-23.6,25.4,25.4,25.4,25.4,-23.7,25.5,25.4,-23.7,-23.7,-23.6,-23.7,25.4,25.4,-23.7,-0.33616872157051036,1002.54
85,25.4,-23.7,-23.7,25.4,-23.7,25.4,25.4,-23.6,-23.6,25.4,-23.6,-23.6,25.4,25.5,-23.6,-23.6,25.5,25.5,-23.6,-0.3361687328157535,1002.54
86,23.6,-25.4,23.6,-25.4,23.6,23.6,23.6,-25.4,-25.4,-25.4,-25.4,23.6,-25.5,-25.5,23.6,23.6,23.6,23.6,-25.5,-0.33616873705575057,1002.54
87,23.6,-25.4,-25.4,23.6,-25.4,-25.4,23.7,23.7,23.6,-25.4,23.7,23.7,-25.4,-25.4,23.6,23.7,23.7,-25.4,-25.4,-0.33616874917531564,1002.54
88,-25.4,23.6,-25.4,23.7,23.6,-25.4,23.6,-25.4,23.6,-25.4,23.6,-25.4,-25.4,23.6,23.7,23.7,23.6,-25.4,-25.4,-0.3361687531898108,1002.54
89,-23.7,25.4,25.4,25.4,-23.7,-23.6,25.4,-23.6,25.4,-23.6,25.4,-23.6,-23.6,-23.6,-23.6,-23.6,25.4,25.4,25.4,-0.3361687621913573,1002.54
90,23.7,23.7,23.7,-25.4,-25.4,-25.4,23.7,23.7,-25.4,-25.4,-25.4,23.7,-25.4,-25.5,23.6,23.6,23.6,-25.5,23.6,-0.3361687675379186,1002.54
91,23.7,-25.4,23.7,-25.4,-25.4,23.7,23.7,-25.4,23.7,-25.4,-25.4,23.6,-25.4,23.6,23.7,23.6,23.6,-25.4,-25.5,-0.3361687856537598,1002.54
92,-23.7,25.4,25.4,25.4,25.4,-23.7,-23.7,25.4,-23.7,-23.6,-23.6,-23.6,-23.6,-23.6,25.4,25.4,-23.6,25.4,25.4,-0.3361688044461653,1002.54
93,-23.7,25.4,-23.7,25.4,25.4,-23.7,-23.7,25.4,-23.7,25.4,-23.7,-23.7,25.4,-23.7,25.4,25.4,25.4,-23.7,-23.7,-0.3361688226171864,1002.54
94,23.7,23.6,-25.4,-25.4,-25.4,23.6,-25.4,23.7,-25.4,23.6,23.7,23.6,-25.4,23.6,-25.4,-25.4,23.6,-25.4,23.6,-0.336168840274998,1002.54
95,23.6,-25.4,23.6,-25.4,-25.4,23.7,23.6,23.7,-25.4,-25.4,23.6,-25.4,23.6,-25.4,-25.4,23.7,23.6,23.7,-25.4,-0.33616885496763743,1002.54
96,-23.7,-23.7,25.4,25.4,-23.7,25.4,-23.7,25.4,25.4,-23.7,-23.6,25.4,-23.7,25.4,-23.7,25.4,-23.7,25.4,-23.6,-0.3361688601927463,1002.54
97,25.4,-23.6,25.4,-23.6,-23.6,25.4,25.4,25.4,-23.6,-23.6,-23.7,-23.7,-23.7,25.4,25.4,-23.7,25.4,-23.7,25.4,-0.3361688756878925,1002.54
98,23.6,-25.4,-25.4,23.6,23.6,23.6,-25.4,-25.4,-25.4,23.6,23.6,-25.4,23.7,-25.4,23.7,23.7,-25.4,-25.4,23.7,-0.3361688774848184,1002.54
99,23.6,-25.4,23.7,-25.4,23.6,-25.4,23.6,23.6,-25.4,23.6,-25.4,23.7,-25.4,-25.4,-25.4,-25.4,23.7,23.7,23.7,-0.3361689150701379,1002.54
